optimizer,num_layers,learning_rate,epochs,batch_size,use_layerwise_dropout_batchnorm,start_neurons,padding,output_layer_activation,l2_r,l1_r,kernel_size,filters,dropout_rate,decay_sequence,activation,train_loss,train_accuracy,train_precision,train_recall,val_loss,val_accuracy,val_precision,val_recall
sgd,1,0.0001,50,128,False,220,same,sigmoid,0.01,0.0001,64,22,0.01,[1],softmax,0.738272488117,0.491239756346,0.491239756346,1.0,0.738113880157,0.497566640377,0.497566640377,1.0
rmsprop,1,0.1,50,1024,True,120,same,sigmoid,0.001,0.2,54,70,0.4,[1],relu,,,,,,,,
rmsprop,3,0.1,50,512,True,220,same,sigmoid,0.2,0.001,62,38,0.5,"[1, 0.5, 0.25]",tanh,,,,,,,,
sgd,1,0.01,50,512,True,200,same,sigmoid,0.001,0.2,16,36,0.2,[1],relu,,,,,,,,
sgd,1,0.001,50,512,False,380,same,sigmoid,0.1,0.2,24,66,0.5,[1],sigmoid,,,,,,,,
adam,2,0.01,50,256,True,480,same,sigmoid,0.001,0.1,36,26,0.3,"[1, 2]",relu,,,,,,,,
rmsprop,3,0.0001,50,512,False,320,same,sigmoid,0.0001,0.0001,78,70,0.4,"[1, 1, 1]",tanh,,,,,,,,
sgd,2,0.1,50,256,True,240,same,sigmoid,0.3,0.2,36,28,0.001,"[1, 2]",relu,,,,,,,,
sgd,3,0.01,50,512,False,180,same,sigmoid,0.3,0.01,30,64,0.4,"[1, 1, 1]",relu,,,,,,,,
sgd,1,0.0001,50,512,True,220,same,sigmoid,0.01,0.2,84,62,0.3,[1],relu,,,,,,,,
rmsprop,2,0.0001,50,512,False,100,same,sigmoid,0.001,0.1,10,54,0.1,"[1, 4]",relu,,,,,,,,
sgd,3,0.0001,50,1024,False,400,same,sigmoid,0.3,0.01,92,24,0.2,"[1, 4, 8]",softmax,,,,,,,,
sgd,3,0.001,50,512,True,360,same,sigmoid,0.0001,0.01,48,46,0.3,"[1, 4, 8]",relu,,,,,,,,
sgd,2,0.01,50,512,False,160,same,sigmoid,0.0001,0.001,88,12,0.3,"[1, 1]",sigmoid,,,,,,,,
adam,2,0.01,50,256,False,180,same,sigmoid,0.1,0.2,12,16,0.01,"[1, 2]",softmax,,,,,,,,
sgd,1,0.001,50,1024,False,180,same,sigmoid,0.3,0.3,72,72,0.5,[1],relu,,,,,,,,
sgd,3,0.1,50,1024,False,200,same,sigmoid,0.001,0.2,20,16,0.5,"[1, 1, 1]",relu,,,,,,,,
sgd,1,0.01,50,512,True,100,same,sigmoid,0.01,0.2,74,36,0.4,[1],softmax,,,,,,,,
sgd,1,0.0001,50,1024,True,320,same,sigmoid,0.0001,0.01,76,32,0.2,[1],softmax,,,,,,,,
rmsprop,3,0.1,50,512,True,180,same,sigmoid,0.001,0.3,46,78,0.1,"[1, 2, 4]",sigmoid,,,,,,,,
sgd,3,0.01,50,256,True,480,same,sigmoid,0.001,0.001,60,44,0.4,"[1, 4, 8]",relu,,,,,,,,
sgd,2,0.01,50,256,True,400,same,sigmoid,0.2,0.3,92,48,0.5,"[1, 2]",relu,,,,,,,,
sgd,2,0.0001,50,512,True,340,same,sigmoid,0.01,0.2,26,40,0.5,"[1, 2]",relu,,,,,,,,
rmsprop,1,0.1,50,256,True,440,same,sigmoid,0.2,0.3,68,68,0.01,[1],tanh,,,,,,,,
adam,3,0.01,50,1024,True,140,same,sigmoid,0.001,0.3,20,24,0.001,"[1, 4, 8]",sigmoid,,,,,,,,
sgd,1,0.01,50,512,True,400,same,sigmoid,0.3,0.1,38,10,0.5,[1],relu,,,,,,,,
sgd,2,0.0001,50,512,False,140,same,sigmoid,0.1,0.0001,62,12,0.5,"[1, 0.5]",relu,,,,,,,,
sgd,3,0.0001,50,512,False,200,same,sigmoid,0.001,0.2,86,60,0.3,"[1, 2, 4]",tanh,558.476379395,0.506244838238,0.498274832964,0.823963582516,558.475463867,0.512890636921,0.503935754299,0.827704489231
sgd,3,0.01,50,512,True,340,same,sigmoid,0.0001,0.2,14,28,0.01,"[1, 4, 8]",sigmoid,1.07125449181,0.5078125,0.0,0.0,1.07075285912,0.518099009991,0.0,0.0
rmsprop,1,0.1,50,256,False,260,same,sigmoid,0.2,0.001,86,18,0.3,[1],tanh,6.61864566803,0.508146584034,0.0,0.0,6.5596370697,0.514062523842,0.0,0.0
sgd,1,0.01,50,1024,True,280,same,sigmoid,0.3,0.001,12,66,0.01,[1],tanh,,,,,,,,
sgd,2,0.01,50,256,True,360,same,sigmoid,0.2,0.3,6,24,0.01,"[1, 1]",sigmoid,2.41505479813,0.507555484772,0.0,0.0,2.41472816467,0.513281285763,0.0,0.0
sgd,3,0.001,50,1024,True,260,same,sigmoid,0.2,0.0001,68,26,0.4,"[1, 2, 4]",tanh,4.83194494247,0.497892677784,0.489264041185,0.484762966633,4.83155727386,0.497488856316,0.490930050611,0.481774479151
sgd,3,0.0001,50,1024,True,240,same,sigmoid,0.01,0.2,54,48,0.1,"[1, 2, 4]",sigmoid,,,,,,,,
sgd,3,0.001,50,512,True,460,same,sigmoid,0.01,0.3,16,42,0.5,"[1, 2, 4]",relu,3.14659571648,0.491827726364,0.491827726364,1.0,3.14660143852,0.491796910763,0.491796910763,1.0
rmsprop,3,0.01,50,512,True,280,same,sigmoid,0.1,0.001,94,48,0.0,"[1, 4, 8]",sigmoid,0.693133473396,0.509585738182,0.0,0.0,0.693240880966,0.503645837307,0.0,0.0
